artist,born-died,period,school,url,base,nationality,birth_year_clean,death_year_clean,clean_name
"BONHEUR, Isidore Jules",(1827-1901),Realism,sculptor,https://www.wga.hu/html/b/bonheur/isidore/index.html,Paris,French,1827,1901,Isidore Jules Bonheur
"BONHEUR, Rosa",(1822-1899),Realism,painter,https://www.wga.hu/html/b/bonheur/rosa/index.html,Paris,French,1822,1899,Rosa Bonheur
BONIFACIO VERONESE,(1487-1557),High Renaissance,painter,https://www.wga.hu/html/b/bonifaci/index.html,Venice,Italian,1487,1557,BONIFACIO VERONESE
"BONIFACIO, Natale",(1538-1592),Mannerism,graphic,https://www.wga.hu/html/b/bonifacn/index.html,Italy,Italian,1538,1592,Natale Bonifacio
"BONINGTON, Richard Parkes",(1802-1828),Romanticism,painter,https://www.wga.hu/html/b/boningto/index.html,England,English,1802,1828,Richard Parkes Bonington
BONINO DA CAMPIONE,(active 1350-90),Medieval,sculptor,https://www.wga.hu/html/b/bonino/index.html,Lombardy,Italian,1350,,BONINO DA CAMPIONE
"BONITO, Giuseppe",(1707-1789),Rococo,painter,https://www.wga.hu/html/b/bonito/index.html,Naples,Italian,1707,1789,Giuseppe Bonito
"BONNARD, Pierre",(1867-1947),Art Nouveau,painter,https://www.wga.hu/html/b/bonnard/index.html,Paris,French,1867,1947,Pierre Bonnard
"BONNASSIEUX, Jean-Marie Bienaimé",(1810-1892),Neoclassicism,sculptor,https://www.wga.hu/html/b/bonnassi/index.html,France,French,1810,1892,Jean-Marie Bienaimé Bonnassieux
"BONNAT, Léon-Joseph-Florentin",(1833-1922),Realism,painter,https://www.wga.hu/html/b/bonnat/index.html,Paris,French,1833,1922,Léon-Joseph-Florentin Bonnat
"BONOMI, Joseph the Elder",(1739-1808),Neoclassicism,architect,https://www.wga.hu/html/b/bonomi/index.html,England,English,1739,1808,Joseph the Elder Bonomi
"BONSI, Giovanni",(active 1351-1375),Medieval,painter,https://www.wga.hu/html/b/bonsi/index.html,Florence,Italian,1351,1375,Giovanni Bonsi
"BONSIGNORE, Ferdinando",(1760-1843),Neoclassicism,architect,https://www.wga.hu/html/b/bonsign/index.html,Turin,Italian,1760,1843,Ferdinando Bonsignore
"BONSIGNORI, Francesco",(1455-1519),Early Renaissance,painter,https://www.wga.hu/html/b/bonsigno/index.html,Verona,Italian,1455,1519,Francesco Bonsignori
"BONTEMPS, Pierre",(active 1536-1567),Mannerism,sculptor,https://www.wga.hu/html/b/bontemps/index.html,France,French,1536,1567,Pierre Bontemps
"BONVICINO, Ambrogio",(c. 1552-1622),Mannerism,sculptor,https://www.wga.hu/html/b/bonvicin/index.html,Rome,Italian,1552,1622,Ambrogio Bonvicino
"BONZI, Pietro Paolo",(c. 1576-1636),Baroque,painter,https://www.wga.hu/html/b/bonzi/index.html,Rome,Italian,1576,1636,Pietro Paolo Bonzi
"BOONEN, Arnold",(1669-1729),Baroque,painter,https://www.wga.hu/html/b/boonen/index.html,Netherlands,Dutch,1669,1729,Arnold Boonen
"BOR, Paulus",(1605-1669),Baroque,painter,https://www.wga.hu/html/b/bor/index.html,Amersfoort,Dutch,1605,1669,Paulus Bor
"BORCHT, Hendrik van der, the Elder",(1583-1651),Baroque,painter,https://www.wga.hu/html/b/borcht/index.html,Germany,Flemish,1583,1651,"Hendrik van der, the Elder Borcht"
"BORDONE, Benedetto",(c. 1460-1539),High Renaissance,graphic,https://www.wga.hu/html/b/bordon/index.html,Venice,Italian,1460,1539,Benedetto Bordone
"BORDONE, Paris",(1500-1571),High Renaissance,painter,https://www.wga.hu/html/b/bordone/index.html,Venice,Italian,1500,1571,Paris Bordone
BORGHESE DI PIERO BORGHESE,(1397-c. 1463),Early Renaissance,painter,https://www.wga.hu/html/b/borghese/index.html,Lucca,Italian,1397,1463,BORGHESE DI PIERO BORGHESE
"BORGIANNI, Orazio",(1574-1616),Baroque,painter,https://www.wga.hu/html/b/borgiann/index.html,Rome,Italian,1574,1616,Orazio Borgianni
"BORGOÑA, Juan de",(d. 1554),High Renaissance,painter,https://www.wga.hu/html/b/borgona/index.html,Toledo,Spanish,1554,,Juan de Borgoña
"BOROVIKOVSKY, Vladimir Lukich",(1757-1825),Rococo,painter,https://www.wga.hu/html/b/boroviko/index.html,Russia,Russian,1757,1825,Vladimir Lukich Borovikovsky
"BORRANI, Odoardo",(1833-1905),Realism,painter,https://www.wga.hu/html/b/borrani/index.html,Florence,Italian,1833,1905,Odoardo Borrani
"BORRASSA, Lluis",(c. 1360-1425),Early Renaissance,painter,https://www.wga.hu/html/b/borrassa/index.html,Barcelona,Catalan,1360,1425,Lluis Borrassa
"BORROMINI, Francesco",(1599-1667),Baroque,architect,https://www.wga.hu/html/b/borromin/index.html,Rome,Italian,1599,1667,Francesco Borromini
"BORRÁS, Fray Nicolás",(1530-1610),Mannerism,painter,https://www.wga.hu/html/b/borras/index.html,Gandía,Spanish,1530,1610,Fray Nicolás Borrás
"BORSATO, Giuseppe",(1770-1849),Neoclassicism,painter,https://www.wga.hu/html/b/borsato/index.html,Venice,Italian,1770,1849,Giuseppe Borsato
"BORSOS, József",(1821-1883),Romanticism,painter,https://www.wga.hu/html/b/borsos/index.html,Hungary,Hungarian,1821,1883,József Borsos
"BORSSOM, Anthonie van",(1630/31-1677),Baroque,painter,https://www.wga.hu/html/b/borssum/index.html,Amsterdam,Dutch,1630,1677,Anthonie van Borssom
"BORT, Jaime",(d. 1754),Baroque,architect,https://www.wga.hu/html/b/bort/index.html,Murcia,Spanish,1754,,Jaime Bort
"BORTOLONI, Mattia",(1696-1750),Baroque,painter,https://www.wga.hu/html/b/bortolin/index.html,Italy,Italian,1696,1750,Mattia Bortoloni
"BORZONE, Luciano",(1590-1645),Baroque,painter,https://www.wga.hu/html/b/borzone/index.html,Genoa,Italian,1590,1645,Luciano Borzone
"BOS, Cornelis",(c. 1506-1555),Northern Renaissance,graphic,https://www.wga.hu/html/b/bos/index.html,Antwerp,Flemish,1506,1555,Cornelis Bos
"BOSCH, Hieronymus",(c. 1450-1516),Northern Renaissance,painter,https://www.wga.hu/html/b/bosch/index.html,Netherlandish,Netherlandish,1450,1516,Hieronymus Bosch
"BOSCHETTI, Lorenzo",(active 1709-1772),Baroque,architect,https://www.wga.hu/html/b/boschett/index.html,Venice,Italian,1709,1772,Lorenzo Boschetti
"BOSCOLI, Tommaso di Pietro",(1503-1574),High Renaissance,architect,https://www.wga.hu/html/b/boscoli/index.html,Italy,Italian,1503,1574,Tommaso di Pietro Boscoli
"BOSIO, Antonio",(1575-1629),Baroque,graphic,https://www.wga.hu/html/b/bosio_a/index.html,Rome,Italian,1575,1629,Antonio Bosio
"BOSIO, François-Joseph",(1768-1845),Neoclassicism,sculptor,https://www.wga.hu/html/b/bosio/francois/index.html,France,French,1768,1845,François-Joseph Bosio
"BOSIO, Jean François",(1764-1827),Neoclassicism,painter,https://www.wga.hu/html/b/bosio/jean/index.html,France,French,1764,1827,Jean François Bosio
"BOSSCHAERT, Abraham",(c. 1612-1643),Baroque,painter,https://www.wga.hu/html/b/bosschae/abraham/index.html,Utrecht,Dutch,1612,1643,Abraham Bosschaert
"BOSSCHAERT, Ambrosius the Elder",(1573-1621),Baroque,painter,https://www.wga.hu/html/b/bosschae/ambrosiu/index.html,Utrecht,Dutch,1573,1621,Ambrosius the Elder Bosschaert
"BOSSCHAERT, Ambrosius the Younger",(1609-45),Baroque,painter,https://www.wga.hu/html/b/bosschae/ambrosix/index.html,Utrecht,Dutch,1609,,Ambrosius the Younger Bosschaert
"BOSSCHAERT, Jan-Baptist",(1667-1746),Baroque,painter,https://www.wga.hu/html/b/bosschae/jan_bapt/index.html,Antwerp,Flemish,1667,1746,Jan-Baptist Bosschaert
"BOSSCHAERT, Johannes",(c. 1607-c.1628),Baroque,painter,https://www.wga.hu/html/b/bosschae/johannes/index.html,Utrecht,Dutch,1607,1628,Johannes Bosschaert
"BOSSCHE, Balthasar van den",(1681-1715),Baroque,painter,https://www.wga.hu/html/b/bossche/index.html,Antwerp,Flemish,1681,1715,Balthasar van den Bossche
"BOSSE, Abraham",(1602-1676),Baroque,graphic,https://www.wga.hu/html/b/bosse/index.html,France,French,1602,1676,Abraham Bosse
"BOSSUIT, Francis van",(1635-1692),Baroque,sculptor,https://www.wga.hu/html/b/bossuit/index.html,Amsterdam,Flemish,1635,1692,Francis van Bossuit
"BOTH, Andries",(c. 1612-1641),Baroque,painter,https://www.wga.hu/html/b/both/andries/index.html,Rome,Dutch,1612,1641,Andries Both
"BOTH, Jan",(c. 1618-1652),Baroque,painter,https://www.wga.hu/html/b/both/jan/index.html,Rome,Dutch,1618,1652,Jan Both
"BOTTALLA, Giovanni Maria",(1613-1644),Baroque,painter,https://www.wga.hu/html/b/bottalla/index.html,Italy,Italian,1613,1644,Giovanni Maria Bottalla
"BOTTANI, Giuseppe",(1717-1784),Rococo,painter,https://www.wga.hu/html/b/bottani/index.html,Italy,Italian,1717,1784,Giuseppe Bottani
"BOTTICELLI, Sandro",(1445-1510),Early Renaissance,painter,https://www.wga.hu/html/b/botticel/index.html,Florence,Italian,1445,1510,Sandro Botticelli
"BOTTICINI, Francesco",(1446-1497),Early Renaissance,painter,https://www.wga.hu/html/b/botticin/francesc/index.html,Florence,Italian,1446,1497,Francesco Botticini
"BOTTICINI, Raffaello",(1477-c. 1520),High Renaissance,painter,https://www.wga.hu/html/b/botticin/raffaell/index.html,Florence,Italian,1477,1520,Raffaello Botticini
"BOUCHARDON, Edme",(1698-1762),Neoclassicism,sculptor,https://www.wga.hu/html/b/bouchard/index.html,France,French,1698,1762,Edme Bouchardon
"BOUCHER, Alfred",(1850-1934),Impressionism,sculptor,https://www.wga.hu/html/b/bouche/index.html,Paris,French,1850,1934,Alfred Boucher
"BOUCHER, François",(1703-1770),Rococo,painter,https://www.wga.hu/html/b/boucher/index.html,France,French,1703,1770,François Boucher
"BOUCLE, Pierre van",(c. 1610-1673),Baroque,painter,https://www.wga.hu/html/b/boucle/index.html,Paris,Flemish,1610,1673,Pierre van Boucle
"BOUCQUET, Victor",(1619-1677),Baroque,painter,https://www.wga.hu/html/b/boucquet/index.html,Flanders,Flemish,1619,1677,Victor Boucquet
"BOUDARD, Jean-Baptiste",(1710-1768),Rococo,sculptor,https://www.wga.hu/html/b/boudard/index.html,Parma,French,1710,1768,Jean-Baptiste Boudard
"BOUDEWIJNS, Adriaen Frans",(1644-1711),Baroque,painter,https://www.wga.hu/html/b/boudewij/index.html,Flanders,Flemish,1644,1711,Adriaen Frans Boudewijns
"BOUDIN, Eugène",(1824-1898),Impressionism,painter,https://www.wga.hu/html/b/boudin/index.html,Paris,French,1824,1898,Eugène Boudin
"BOUDIN, Léonard",(1735-1803),Rococo,cabinet-maker,https://www.wga.hu/html/b/boudin_l/index.html,Paris,French,1735,1803,Léonard Boudin
"BOUGH, Samuel",(1822-1878),Realism,painter,https://www.wga.hu/html/b/bough/index.html,Edinburgh,English,1822,1878,Samuel Bough
"BOUGUEREAU, William-Adolphe",(1825-1905),Realism,painter,https://www.wga.hu/html/b/bouguere/index.html,France,French,1825,1905,William-Adolphe Bouguereau
"BOUILLON, Michel",(c. 1616-c. 1654),Baroque,painter,https://www.wga.hu/html/b/bouillon/index.html,Paris,French,1616,1654,Michel Bouillon
"BOULANGER, Gustave",(1824-1888),Realism,painter,https://www.wga.hu/html/b/boulange/index.html,Paris,French,1824,1888,Gustave Boulanger
"BOULANGER, Jean",(c. 1606-1660),Baroque,painter,https://www.wga.hu/html/b/boulang/index.html,Modena,French,1606,1660,Jean Boulanger
"BOULIAR, Marie Geneviève",(1763-1825),Rococo,painter,https://www.wga.hu/html/b/bouliar/index.html,Paris,French,1763,1825,Marie Geneviève Bouliar
"BOULLE, André-Charles",(1642-1732),Baroque,cabinet-maker,https://www.wga.hu/html/b/boulle/index.html,Paris,French,1642,1732,André-Charles Boulle
"BOULLOGNE, Bon",(1649-1717),Baroque,painter,https://www.wga.hu/html/b/boullogn/bon/index.html,Paris,French,1649,1717,Bon Boullogne
"BOULLOGNE, Louis the Elder",(1609-1674),Baroque,painter,https://www.wga.hu/html/b/boullogn/louis_e/index.html,France,French,1609,1674,Louis the Elder Boullogne
"BOULLOGNE, Louis the Younger",(1654-1733),Baroque,painter,https://www.wga.hu/html/b/boullogn/louis_y/index.html,Paris,French,1654,1733,Louis the Younger Boullogne
"BOULLÉE, Étienne-Louis",(1728-1799),Neoclassicism,architect,https://www.wga.hu/html/b/boullee/index.html,Paris,French,1728,1799,Étienne-Louis Boullée
"BOURDELLE, Émile-Antoine",(1861-1929),Realism,sculptor,https://www.wga.hu/html/b/bourdell/index.html,Paris,French,1861,1929,Émile-Antoine Bourdelle
"BOURDICHON, Jean",(1457-1521),Early Renaissance,illuminator,https://www.wga.hu/html/b/bourdich/index.html,Tours,French,1457,1521,Jean Bourdichon
"BOURDIN, Michel",(c. 1585-1645),Baroque,sculptor,https://www.wga.hu/html/b/bourdin/index.html,Paris,French,1585,1645,Michel Bourdin
"BOURDON, Sébastien",(1616-1671),Baroque,painter,https://www.wga.hu/html/b/bourdon/index.html,France,French,1616,1671,Sébastien Bourdon
"BOURLA, Pierre Bruno",(1783-1866),Neoclassicism,architect,https://www.wga.hu/html/b/bourla/index.html,Antwerp,Belgian,1783,1866,Pierre Bruno Bourla
"BOURSSE, Esaias",(1631-1672),Baroque,painter,https://www.wga.hu/html/b/boursse/index.html,Amsterdam,Dutch,1631,1672,Esaias Boursse
"BOUT, Pieter",(1658-1719),Baroque,painter,https://www.wga.hu/html/b/bout/index.html,Brussels,Flemish,1658,1719,Pieter Bout
"BOUTON, Charles-Marie",(1781-1853),Neoclassicism,painter,https://www.wga.hu/html/b/bouton/index.html,Paris,French,1781,1853,Charles-Marie Bouton
"BOUTS, Dieric the Elder",(c. 1415-1475),Northern Renaissance,painter,https://www.wga.hu/html/b/bouts/dirk_e/index.html,Leuven,Flemish,1415,1475,Dieric the Elder Bouts
"BOUTS, Dieric the Younger",(c. 1448-1491),Northern Renaissance,painter,https://www.wga.hu/html/b/bouts/dirk_y/index.html,Leuven,Flemish,1448,1491,Dieric the Younger Bouts
"BOUWENS, François Jean",(1800-1865),Neoclassicism,architect,https://www.wga.hu/html/b/bouwens/index.html,Mechelen,Belgian,1800,1865,François Jean Bouwens
"BOUYS, André",(1656-1740),Baroque,painter,https://www.wga.hu/html/b/bouys/index.html,Paris,French,1656,1740,André Bouys
"BOUZONNET-STELLA, Claudine",(1636-1697),Baroque,graphic,https://www.wga.hu/html/b/bouzonne/index.html,Paris,French,1636,1697,Claudine Bouzonnet-Stella
"BOY, Willem",(c. 1520- 1592),Northern Renaissance,architect,https://www.wga.hu/html/b/boy/index.html,Sweden,Flemish,1520,1592,Willem Boy
"BOYER, Michel",(1668-1724),Baroque,painter,https://www.wga.hu/html/b/boyer/index.html,Paris,French,1668,1724,Michel Boyer
"BOYLE, Richard, 3rd Earl of Burlington",(1694-1753),Baroque,architect,https://www.wga.hu/html/b/boyle/index.html,London,English,1694,1753,"Richard, 3rd Earl of Burlington Boyle"
"BOYS, Thomas Shotter",(1803-1874),Romanticism,graphic,https://www.wga.hu/html/b/boys/index.html,London,English,1803,1874,Thomas Shotter Boys
"BOYVIN, René",(c. 1525-c. 1625),Mannerism,graphic,https://www.wga.hu/html/b/boyvin/index.html,France,French,1525,1625,René Boyvin
"BOZE, Joseph",(1745-1826),Rococo,painter,https://www.wga.hu/html/b/boze/index.html,Paris,French,1745,1826,Joseph Boze
"BRACCESCO, Carlo",(active 1478-1501),Early Renaissance,painter,https://www.wga.hu/html/b/braccesc/index.html,Liguria,Italian,1478,1501,Carlo Braccesco
"BRACCI, Pietro",(1700-1773),Baroque,sculptor,https://www.wga.hu/html/b/bracci/index.html,Rome,Italian,1700,1773,Pietro Bracci
"BRACQUEMOND, Marie",(1840-1916),Impressionism,painter,https://www.wga.hu/html/b/bracquem/index.html,France,French,1840,1916,Marie Bracquemond
"BRAEU, Nicolaes",(active c. 1586-1600),Mannerism,graphic,https://www.wga.hu/html/b/braeu/index.html,Haarlem,Netherlandish,1586,1600,Nicolaes Braeu
"BRAKENBURG, Richard",(1650-1702),Baroque,painter,https://www.wga.hu/html/b/brakenbu/index.html,Haarlem,Dutch,1650,1702,Richard Brakenburg
"BRAMANTE, Donato",(1444-1514),Early Renaissance,architect,https://www.wga.hu/html/b/bramante/index.html,Milan,Italian,1444,1514,Donato Bramante
BRAMANTINO,(c. 1465-1530),Early Renaissance,painter,https://www.wga.hu/html/b/bramanti/index.html,Lombardy,Italian,1465,1530,BRAMANTINO
"BRAMBILLA, Ambrogio",(active 1579–1599),Mannerism,graphic,https://www.wga.hu/html/b/brambill/index.html,Rome,Italian,1579,1599,Ambrogio Brambilla
"BRAMER, Leonaert",(1596-1674),Baroque,painter,https://www.wga.hu/html/b/bramer/index.html,Delft,Dutch,1596,1674,Leonaert Bramer
"BRAND, Christian Hilfgott",(1694-1756),Rococo,painter,https://www.wga.hu/html/b/brand/christia/index.html,Vienna,Austrian,1694,1756,Christian Hilfgott Brand
"BRAND, Johann Christian",(1722-1795),Rococo,painter,https://www.wga.hu/html/b/brand/johann/index.html,Vienna,Austrian,1722,1795,Johann Christian Brand
"BRANDI, Domenico",(1683-1736),Baroque,painter,https://www.wga.hu/html/b/brandi_d/index.html,Naples,Italian,1683,1736,Domenico Brandi
"BRANDI, Giacinto",(1621-1691),Baroque,painter,https://www.wga.hu/html/b/brandi/index.html,Italy,Italian,1621,1691,Giacinto Brandi
"BRANT, Sebastian",(1457-1521),Northern Renaissance,graphic,https://www.wga.hu/html/b/brant/index.html,Germany,German,1457,1521,Sebastian Brant
"BRAY, Dirck de",(active 1651-1678),Baroque,painter,https://www.wga.hu/html/b/bray/dirck/index.html,Haarlem,Dutch,1651,1678,Dirck de Bray
"BRAY, Jan de",(c. 1627-1697),Baroque,painter,https://www.wga.hu/html/b/bray/jan/index.html,Haarlem,Dutch,1627,1697,Jan de Bray
"BRAY, Joseph de",(1628/34-1664),Baroque,painter,https://www.wga.hu/html/b/bray/joseph/index.html,Haarlem,Dutch,1628,1664,Joseph de Bray
"BRAY, Salomon de",(1597-1664),Baroque,painter,https://www.wga.hu/html/b/bray/salomon/index.html,Haarlem,Dutch,1597,1664,Salomon de Bray
"BREA, Louis",(c. 1450-c. 1523),Early Renaissance,painter,https://www.wga.hu/html/b/brea/index.html,Nice,Italian,1450,1523,Louis Brea
"BRECK, John Leslie",(1860-1899),Impressionism,painter,https://www.wga.hu/html/b/breck/index.html,United States,American,1860,1899,John Leslie Breck
"BREDAEL, Jan Frans van",(1686-1750),Baroque,painter,https://www.wga.hu/html/b/bredael/jan/index.html,Antwerp,Flemish,1686,1750,Jan Frans van Bredael
"BREDAEL, Joseph van",(1688-1739),Baroque,painter,https://www.wga.hu/html/b/bredael/joseph/index.html,Flanders,Flemish,1688,1739,Joseph van Bredael
"BREEN, Adam van",(c. 1585-c. 1642),Baroque,painter,https://www.wga.hu/html/b/breen_a/index.html,Norway,Dutch,1585,1642,Adam van Breen
"BREEN, Gillis van",(active 1595-1622),Baroque,graphic,https://www.wga.hu/html/b/breen/index.html,Haarlem,Dutch,1595,1622,Gillis van Breen
"BREENBERGH, Bartholomeus",(1598/1600-1657),Baroque,painter,https://www.wga.hu/html/b/breenber/index.html,Amsterdam,Dutch,1598,1657,Bartholomeus Breenbergh
"BREGA, Giuseppe",(1877-1960),Art Nouveau,architect,https://www.wga.hu/html/b/brega/index.html,Pesaro,Italian,1877,1960,Giuseppe Brega
"BREGHTEL, Hans Conraedt",(c. 1608-1675),Baroque,goldsmith,https://www.wga.hu/html/b/breghtel/index.html,TheHague,German,1608,1675,Hans Conraedt Breghtel
"BREGNO, Andrea",(1418-1503),Early Renaissance,sculptor,https://www.wga.hu/html/b/bregno/andrea/index.html,Italy,Italian,1418,1503,Andrea Bregno
"BREGNO, Antonio",(active 1425-1457),Early Renaissance,sculptor,https://www.wga.hu/html/b/bregno/antonio/index.html,Italy,Italian,1425,1457,Antonio Bregno
"BREGNO, Giovanni Battista",(c. 1472-c. 1518),Early Renaissance,sculptor,https://www.wga.hu/html/b/bregno/giovanni/index.html,Italy,Italian,1472,1518,Giovanni Battista Bregno
"BREGNO, Lorenzo",(c. 1480-1525),High Renaissance,sculptor,https://www.wga.hu/html/b/bregno/lorenzo/index.html,Italy,Italian,1480,1525,Lorenzo Bregno
"BREITNER, George Hendrik",(1857-1923),Impressionism,painter,https://www.wga.hu/html/b/breitner/index.html,Amsterdam,Dutch,1857,1923,George Hendrik Breitner
"BREKELENKAM, Quiringh van",(active c. 1647-1668),Baroque,painter,https://www.wga.hu/html/b/brekelen/index.html,Leiden,Dutch,1647,1668,Quiringh van Brekelenkam
"BRENDEL, Johann Gottlob David",(1753-1803),Rococo,architect,https://www.wga.hu/html/b/brendel/index.html,Germany,German,1753,1803,Johann Gottlob David Brendel
"BRENNA, Vincenzo",(1745-1820),Neoclassicism,architect,https://www.wga.hu/html/b/brenna/index.html,Moscow,Italian,1745,1820,Vincenzo Brenna
"BRESCIANINO, Andrea del",(active 1506-1525),High Renaissance,painter,https://www.wga.hu/html/b/brescian/index.html,Siena,Italian,1506,1525,Andrea del Brescianino
"BRESOLIN, Domenico",(c. 1815-c. 1899),Realism,painter,https://www.wga.hu/html/b/bresolin/index.html,Venice,Italian,1815,1899,Domenico Bresolin
"BRETEZ, Louis",(d. 1738),Baroque,architect,https://www.wga.hu/html/b/bretez/index.html,Paris,French,1738,,Louis Bretez
"BRETON, Jules",(1827-1906),Realism,painter,https://www.wga.hu/html/b/breton/index.html,France,French,1827,1906,Jules Breton
"BREU, Jörg the Elder",(1475/76-1537),Northern Renaissance,painter,https://www.wga.hu/html/b/breu/elder/index.html,Augsburg,German,1475,1537,Jörg the Elder Breu
"BREU, Jörg the Younger",(c. 1510-1547),Northern Renaissance,painter,https://www.wga.hu/html/b/breu/younger/index.html,Augsburg,German,1510,1547,Jörg the Younger Breu
"BRIATI, Giuseppe",(1686-1772),Rococo,glass,https://www.wga.hu/html/b/briati/index.html,Murano,Italian,1686,1772,Giuseppe Briati
"BRIDELL, Frederick Lee",(1830-1863),Realism,painter,https://www.wga.hu/html/b/bridell/index.html,Southampton,English,1830,1863,Frederick Lee Bridell
"BRIDGEMAN, Charles",(1690-1738),Baroque,architect,https://www.wga.hu/html/b/bridgema/index.html,England,English,1690,1738,Charles Bridgeman
"BRIL, Matthijs the Younger",(1550-1583),Mannerism,painter,https://www.wga.hu/html/b/bril/matthijs/index.html,Rome,Flemish,1550,1583,Matthijs the Younger Bril
"BRIL, Paul",(1554-1626),Baroque,painter,https://www.wga.hu/html/b/bril/paul/index.html,Rome,Flemish,1554,1626,Paul Bril
"BRINCKMANN, Philipp Hieronymus",(1709-1760),Baroque,painter,https://www.wga.hu/html/b/brinckma/index.html,Mannheim,German,1709,1760,Philipp Hieronymus Brinckmann
"BRIOSCO, Benedetto",(c. 1460-c. 1514),High Renaissance,sculptor,https://www.wga.hu/html/b/briosco/index.html,Italy,Italian,1460,1514,Benedetto Briosco
"BRITTO, Giovanni",(active 1530-1550),High Renaissance,graphic,https://www.wga.hu/html/b/britto/index.html,Venice,Italian,1530,1550,Giovanni Britto
"BRIZIO, Francesco",(c. 1574-1623),Baroque,painter,https://www.wga.hu/html/b/brizio/index.html,Bologna,Italian,1574,1623,Francesco Brizio
"BROC, Jean",(1771-1850),Romanticism,painter,https://www.wga.hu/html/b/broc/index.html,France,French,1771,1850,Jean Broc
